text,label
"Charged for annual plan but signed up for monthly.",Billing
"Data export fails every time with no error message.",Technical
"No tracking update for 6 days.",Delivery
"Returning unused items from a bulk order.",Returns
"Discount not applied despite valid promo code.",Billing
"Dashboard not loading on Safari browser.",Technical
"Courier left package with wrong neighbour.",Delivery
"Product quality not as described, want money back.",Returns
"Need invoice reissued with company VAT number.",Billing
"Integration with Slack stopped posting notifications.",Technical
"Package marked returned to sender without attempt.",Delivery
"Store credit issued but I requested cash refund.",Returns
"Subscription auto-renewed when it should be cancelled.",Billing
"File upload stuck at 99% and never completes.",Technical
"Tracking number invalid on DHL website.",Delivery
"Faulty product after 3 days, want replacement.",Returns
"Wrong currency charged on my international account.",Billing
"Two-step verification code not arriving by SMS.",Technical
"Order split but second parcel has no tracking.",Delivery
"Return window passed due to being in hospital.",Returns
"Payment declined but charge still showing on card.",Billing
"Webhook not firing on our production server.",Technical
"Delivery attempted but gates were open all day.",Delivery
"Gift recipient wants to return item for credit.",Returns
"Need itemised receipt for my last 3 orders.",Billing
"App crashes when switching between team workspaces.",Technical
"Package re-routed to different city on tracker.",Delivery
"Opened product is defective, eligible for return?",Returns
"Free trial ended, charged before I could cancel.",Billing
"Import CSV feature broken after recent update.",Technical
"Order arrived 3 weeks late with no communication.",Delivery
"Refund amount doesn't match original payment.",Returns
"Can I pause my subscription instead of cancelling?",Billing
"Can't invite new team members, getting permission error.",Technical
"Can I collect from a local locker instead of home delivery?",Delivery
"Exchanged item arrived but it's also the wrong size.",Returns
"Charged premium rate for basic plan features.",Billing
"Search indexing not updating after new content added.",Technical
"Second delivery attempt missed despite leaving note.",Delivery
"Original packaging thrown away, can I still return?",Returns
"Need to split payment across two cards.",Billing
"Custom domain setup failing with DNS error.",Technical
"International order stopped at border with no update.",Delivery
"Replacement sent but original refund also needed.",Returns
"Invoice sent to wrong email address.",Billing
"Real-time collaboration feature causing data conflicts.",Technical
"Neighbour signed for my parcel without permission.",Delivery
"Product works but not as advertised, partial refund?",Returns
"Tax exempt status not reflected in my account.",Billing
"Background sync draining phone battery excessively.",Technical
"Same day delivery option not available in my area.",Delivery
"Digital download not working after purchase.",Returns
"Duplicate charges on my account this month.",Billing
"Login session expiring after only 5 minutes.",Technical
"Parcel weight mismatch caused delivery hold.",Delivery
"Returned goods received by you but refund not initiated.",Returns
"Annual invoice missing our purchase order number.",Billing
"Offline mode not syncing data when reconnected.",Technical
"Delivery estimate changed 4 times in one week.",Delivery
"Product arrived but one component missing from box.",Returns
"Credit note issued but not visible in my account.",Billing
"Mobile app not available in my country's app store.",Technical
"Order delayed due to weather but no communication sent.",Delivery
"Used product once, defective, full refund requested.",Returns
"Charged for seats I removed from our team plan.",Billing
"Bulk import tool crashing with large data files.",Technical
"Customs fee charged unexpectedly on my delivery.",Delivery
"Wrong colour received, want correct one or refund.",Returns
"Bank statement shows different amount than invoice.",Billing
"Email notifications going to spam folder.",Technical
"Package delivered to apartment lobby not my door.",Delivery
"Return label expired before I could use it.",Returns
"Need pro-rated credit for unused subscription days.",Billing
"Third party calendar not syncing after permission grant.",Technical
"Delivery window 9am to 9pm is too broad, can you narrow it?",Delivery
"Refund to gift card but I want it to my bank.",Returns
"Payment method update not saving in account settings.",Billing
"Embedded widget not rendering on our website.",Technical
"Order tracking app showing different status than website.",Delivery
"Item returned 3 weeks ago, still no refund or update.",Returns
"Proration calculation on my invoice looks wrong.",Billing
"Audio transcription feature producing gibberish output.",Technical
"Next day delivery arrived 3 days later.",Delivery
"Warranty claim rejected but product is clearly faulty.",Returns
"Annual plan discount not applied at checkout.",Billing
"Dark mode causing contrast issues with text editor.",Technical
"Parcel opened and resealed when it arrived.",Delivery
"Digital subscription refund policy unclear.",Returns
"Group discount not showing on team account invoice.",Billing
"Plugin conflicting with our existing WordPress setup.",Technical
"Courier app shows different location to main tracker.",Delivery
"Replacement product worse than the original faulty one.",Returns
"I need to request a copy of all my past invoices.",Billing
"Video calls dropping after exactly 40 minutes.",Technical
"Free shipping threshold not applied to my order.",Delivery
"Bought wrong product, can I exchange without return?",Returns
"Credit card expiry updated but still getting failed payment.",Billing
"AI summarisation feature giving inaccurate results.",Technical
"Signature required but I work from home and missed it.",Delivery
"Faulty item replaced but courier lost the replacement.",Returns
"Early termination fee not explained before charging.",Billing
"Data dashboard showing metrics from wrong date range.",Technical
"Order arrived but box was completely crushed.",Delivery
"Changed mind within 1 hour of ordering, want cancel.",Returns
